Model,Series_ID,Horizon,MAE,RMSE
Naive Seasonal (Daily),MT_001,96,1.1368443316412862,2.795961096954797
Naive Seasonal (Daily),MT_001,192,1.0839678510998318,2.4506409107987457
Naive Seasonal (Daily),MT_001,672,1.1368443316412875,2.40921864422473
"ARIMA(12,1,0)",MT_001,96,0.7569770459972455,0.97825064248891
Chronos-2,MT_001,96,0.763719958059378,1.182066753110058
Chronos-2,MT_001,192,0.795464869345936,1.208076436707381
Chronos-2,MT_001,672,0.9642194888545759,1.7997360162339393
