Horizon_Label,Horizon_Steps,Covariates,MAE,RMSE
24h,96,Target only,0.763719958059378,1.182066753110058
24h,96,Time covariates,0.6964105188770965,0.9620210220501219
48h,192,Target only,0.795464869345936,1.208076436707381
48h,192,Time covariates,0.7271824178653089,0.9726900442213928
7d,672,Target only,0.9642194888545759,1.7997360162339393
7d,672,Time covariates,0.9570102025411468,1.8058654916732886
