Experiment,Series_ID,Horizon,MAE,RMSE,Improvement_vs_B1_%
B1 - Target Only,MT_001,96,0.763719958059378,1.182066753110058,0.0
B2 - Target + Cyclic Covariates,MT_001,96,0.6964105188770965,0.9620210220501219,18.615338810687998
